Date,rv5
20000103,0.0001408148436564
20000104,0.0002241311515142
20000105,0.0003142822148695
20000106,0.0001308097278411
20000107,9.362177104368208e-05
20000110,0.0001202127284099
20000111,6.80992035840115e-05
20000112,0.000123002349008
20000113,0.000101327682707
20000114,0.0001393004308907
20000118,9.273167237390965e-05
20000119,4.913393635533539e-05
20000120,0.0001296600290546
20000121,5.032588895450988e-05
20000124,0.0001895343329395
20000125,0.0001756937247282
20000126,6.993212585909183e-05
20000127,0.0001876545551182
20000128,0.0002781081691165
20000131,0.0001891490677984
20000201,0.0001166866832195
20000202,9.421928374875531e-05
20000203,0.0001480944937516
20000204,6.754763347841153e-05
20000207,6.023773566258893e-05
20000208,9.10283830050293e-05
20000209,9.31136424374928e-05
20000210,0.0001168827370916
20000211,0.000102716137567
20000214,9.384214096642244e-05
20000215,0.0001312027795208
20000216,8.871881393373084e-05
20000217,0.0001829373395641
20000218,0.0001510083467147
20000222,0.0001938551137949
20000223,0.0001214628728356
20000224,0.0002911040212292
20000225,0.0002319482876893
20000228,0.0002257550830598
20000229,0.0001358959773317
20000301,0.0001024473622056
20000302,9.88488041195575e-05
20000303,9.148079437437722e-05
20000306,6.837669163588859e-05
20000307,0.0002715135248307
20000308,0.000132878629083
20000309,0.0001096243990236
20000310,0.0001192460426776
20000313,0.0004919763074588
20000314,0.0001498810041798
20000315,0.0002310894576846
20000316,0.0002630982441396
20000320,8.786993285204132e-05
20000321,0.0001553957796447
20000322,7.875757019993018e-05
20000323,0.0001456016905259
20000324,0.0001419207192632
20000327,7.958624708161685e-05
20000328,7.049475381344994e-05
20000329,0.0001604331759212
20000330,0.0002303236789729
20000331,0.0002350328061159
20000403,0.0002008402395611
20000404,0.0012553604864043
20000405,0.0004940350122843
20000406,0.0001930190382514
20000407,8.717796328339715e-05
20000410,0.0001110111548822
20000411,0.0002226861546045
20000412,0.0001230970684978
20000413,0.000379548914551
20000414,0.0010764802044287
20000417,0.000593767413776
20000418,0.0002656232223419
20000419,0.0001659792690142
20000420,8.821041784689861e-05
20000424,0.0005272805163016
